"exercise_id","assignment_id","SHA2(CONCAT(vs.user_id+'secret'), 224)","response","title","description","task_json"
"50731","7253","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""die elemente m\u00fcssen vorsortiert sein, es wird immer das mittlere element verglichen und dann in der entsprechenden h\u00e4lfte weitergesucht""]","Binäre Suche","Beschreibe das Vorgehen bei der binären Suche.","{""answers"":[{""text"":""Es wird immer nur das mittlere Element der noch zu durchsuchenden Menge mit dem gesuchten Element verglichen. Die anschlie\u00dfend noch zu durchsuchende Menge ist jeweils diejenige H\u00e4lfte der Menge welche bez\u00fcglich des Suchkriteriums im gleichen Verh\u00e4ltnis zum mittleren Element steht, wie das zu suchende Element."",""score"":1}]}"
"50732","7253","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""Die Elemente m\u00fcssen der gr\u00f6\u00dfe nach sortiert sein""]","Kriterium für binäre Suche","Welches Kriterium muss eine Menge von Elementen erfüllen, damit die binäre Suche angewandt werden kann?","{""answers"":[{""text"":""Die Menge muss sortiert sein."",""score"":1}]}"
"50733","7253","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""Sie ben\u00f6tigt weniger Rechenschritt und hat folglich eine k\u00fcrzere Laufzeit""]","Vorteil der binären Suche","Warum ist die binäre Suche der linearen vorzuziehen?","{""answers"":[{""text"":""Die bin\u00e4re Suche hat eine deutlich geringere Laufzeit."",""score"":1}]}"
"50807","7263","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""eine Operation\/Methode ist ein Teilprogramm das aufgerufen werden kann""]","Definition Operation","Was ist eine Operation?","{""answers"":[{""text"":""Eine Operation ist eine gruppierung von Anweisungen zu einem Ausf\u00fchrungskontext."",""score"":1}]}"
"50808","7263","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""Das Hauptprogramm bleibt \u00fcbersichtlich, da viele schritte outgesourct werden""]","Funktion von Operationen","Wozu dienen Operationen?","{""answers"":[{""text"":""Operationen k\u00f6nnen an verschiedenen Stellen verwendet werden und ersparen somit Code. Sie dienen au\u00dferdem zur Strukturierung des Codes in semantisch zusammenh\u00e4ngende Teilabschnitte."",""score"":1}]}"
"50809","7263","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""Ein Methodenkopf""]","Signatur in Java","Was gehört zu der Signatur einer Operation in Java?","{""answers"":[{""text"":""Zur Signatur einer Operation in Java geh\u00f6ren der Name und die Parameter, insbesondere die Parameterzahl und Reihenfolge der Typen."",""score"":1}]}"
"50810","7263","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""""]","Funktion der Signatur","Wozu dient eine Signatur?","{""answers"":[{""text"":""Die Signatur dient zur eindeutigen Identifikation einer Operation."",""score"":1}]}"
"50811","7263","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""eine Variable""]","Definition Parameter","Was ist ein Parameter?","{""answers"":[{""text"":""Ein Parameter ist eine lokale Variable eine Operation, die beim Aufruf von au\u00dfen mit einem Wert versehen werden kann."",""score"":1}]}"
"50812","7263","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""eine Variable die \u00fcber mehrere Methoden hinweg aufegerufen werden kann""]","Definition lokale Variable","Was ist eine lokale Variable?","{""answers"":[{""text"":""Eine lokale Variable ist eine Variable die nur in einem bestimmten Kontext (Scope) definiert ist."",""score"":1}]}"
"50813","7263","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""schleifen, methoden, klassen""]","Scope von Variablen","An welche Strukturellen Einheiten können Variable in Java gebunden werden?","{""answers"":[{""text"":""Variable in Java k\u00f6nnen an Bl\u00f6cke, Funktionen, Instanzen und Klassen gebunden werden."",""score"":1}]}"
"50814","7263","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""variable die ber verschiedene metoden genutzt werden kann""]","Definition globale Variable","Was ist eine globale Variable?","{""answers"":[{""text"":""Eine globale Variable ist eine auf welche von \u00fcberall innerhalb eines zugegriffen werden kann."",""score"":1}]}"
"50815","7263","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""Dann w\u00fcrde es zu viele geben, sodass es un\u00fcbersichtlich wird und zu viel Arbeitsspeicher verbraucht""]","Grund für lokale Variablen","Warum sind nicht einfach alle Variablen global?","{""answers"":[{""text"":""Das binden von Variablen an bestimmte Ausf\u00fchrungskontexte spart Speicherplatz und erlaubt die unabh\u00e4ngige Wiederverwendung von Variablennamen in verschiedenen Kontexten."",""score"":1}]}"
"50816","7263","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""als globale variablen mit return""]","Werterhaltung zwischen Operationen","Wie kann man Werte zwischen Operationen erhalten?","{""answers"":[{""text"":""Werte k\u00f6nnen \u00fcber Parameter und R\u00fcckgabewerte weitergegeben werden oder in einem gr\u00f6\u00dferen Kontext wie zum Beispiel einer Klasse oder global definiert werden."",""score"":1}]}"
"50817","7263","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""die Variable wird \u00fcber ihren Wert definiert bsp Int, flow, long""]","""Call by value""","Was ist das Prinzip von “call by value”?","{""answers"":[{""text"":""\u201cCall by value\u201d bedeutet, dass bei der Parameter\u00fcbergabe die Kopie des Wertes einer Variablen \u00fcbergeben wird, sodass \u00c4nderungen dieses Wertes innerhalb der Funktion keinen Effekte auf den urspr\u00fcnglichen Wert hat."",""score"":1}]}"
"50818","7263","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""bei der \u00fcbergabe werden referenzen \u00fcbergeben, sodass \u00e4nderungen auch die urspr\u00fcnglich variable betreffen""]","""Call by reference""","Was ist das Prinzip von “call by reference”?","{""answers"":[{""text"":""\u201cCall by reference\u201d bedeutet, dass bei der Parameter\u00fcbergabe die Referenz selber \u00fcbergeben wird, sodass \u00c4nderungen der Referenz selber auch \u00fcber die Operation hinaus bestehen bleiben."",""score"":1}]}"
"50819","7263","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""Damit nicht immer alles von vorne programmiert werden muss""]","Funktion von Paketen in Java","Wozu dienen Pakete in Java?","{""answers"":[{""text"":""Pakete k\u00f6nnen genutzt werden um Klassen semantisch zu gruppieren und gemeinsam verf\u00fcgbar zu machen."",""score"":1}]}"
"50820","7263","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""\u00dcber den methodenkopf, public oder private bspw""]","Paketzuordnung","Wie werden Klassen in Java einem Paket zugeordnet?","{""answers"":[{""text"":""Die Dateien der zum Paket zugeh\u00f6rigen Klassen m\u00fcssen im selben Verzeichnis liegen und dem Paket mit der Anweisung 'package <Verzeichnispfad>' hinzugef\u00fcgt werden."",""score"":1}]}"
"50821","7263","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""um den zugriff auf die klasse einschr\u00e4nken zu k\u00f6nnen""]","Sichtbarkeits Modifikatoren","Wozu dienen Modifikatoren public und private in Java?","{""answers"":[{""text"":""Die Modifikatoren regeln die Sichtbarkeit und Zugriffsberechtigungen von Feldern und Operationen von Klassen. Mit public deklarierte Felder sind von \u00fcberall sichtbar wohingegen mit private deklarierte Felder nur innerhalb der eigenen Klasse verf\u00fcgbar sind."",""score"":1}]}"
"50884","7277","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""Viele andere Implementierungen sind dann wesentlich effizienter k\u00fcrzer""]","Grund fürs Sortieren","Warum macht es Sinn eine Menge zu sortieren?","{""answers"":[{""text"":""Das durchsuchen einer sortierten Menge ist deutlich schneller."",""score"":1}]}"
"50885","7277","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""Bei jedem druchlauf den gr\u00f6\u00dften\/kleinsten wert ans ende bringen und die l\u00e4nge um eins verk\u00fcrzen bis die l\u00e4nge nur noch eins ist""]","Idee von SelectionSort","Was ist die Idee von SelectionSort?","{""answers"":[{""text"":""Die Idee ist, iterativ das gr\u00f6\u00dfte Element aus dem aktuellen Array auszusortieren."",""score"":1}]}"
"50886","7277","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""Es werden nur wenig der gewonnen Daten verwendet""]","Ineffizienz von SelectionSort","Was macht SelectionSort so ineffizient?","{""answers"":[{""text"":""Die f\u00fcr die Bestimmung des gr\u00f6\u00dften Elementes gemachten Vergleiche werden nicht wiederverwendet."",""score"":1}]}"
"50887","7277","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""Mit jedem Tausch wird das Array etwas sortierter""]","Sortieren von Nachbarn","Was ist die gemeinsame Grundidee von Sortierverfahren die auf Nachbartäuschen basieren?","{""answers"":[{""text"":""Die Sortierverfahren beruhen darauf benachbarte Elemente zu vergleichen und  Fehlstellungen zu korrigieren. Das Array wird so lange durchlaufen, bis alle Nachbarn richtig sortiert sind."",""score"":1}]}"
"50888","7277","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""""]","BubbleSort","Warum sind Sortierverfahren die darauf beruhen Fehlstellungen von Nachbarn zu beheben im best-case besser als n*log(n)?","{""answers"":[{""text"":""Bei einem sortierten Array gibt es keine Fehlstellungen. Das Array muss deshalb nur einmal durchlaufen werden."",""score"":1}]}"
"50889","7277","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""M\u00f6glichst viele der gewonnen Daten zu verwenden, es wird ein Bin\u00e4rbaum konstruiert""]","Idee HeapSort","Was ist die Idee von Heapsort?","{""answers"":[{""text"":""Die Elemente werden so in einem Bin\u00e4rbaum arrangiert, dass eine Kante immer einen Vergleich zwischen zwei Elementen darstellt, bei welchem der Vater das gr\u00f6\u00dfere Element ist. Die so gespeicherten Vergleichsinformationen verschnellern die Suche nach dem gr\u00f6\u00dften Element."",""score"":1}]}"
"50890","7277","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""Der Vater ist gr\u00f6\u00dfer als die Kinder""]","Eigenschaften eines Heaps","Welche Eigenschaften eines Heaps sind essentiell für das sortieren?","{""answers"":[{""text"":""Der gr\u00f6\u00dfte Wert aller Knoten in jedem Teilbaum ist in dessen Wurzel. Ein Heap besitzt eine maximale Tiefe von log(n)."",""score"":1}]}"
"50891","7277","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""er muss sortiert sein der gr\u00f6\u00dfte wert in der wurzel die kleinsten in den Bl\u00e4tter, es muss ein bin\u00e4rbaum sein""]","Struktur eines Heap","Wie muss ein Binärbaum strukturiert sein um ihn in einer Laufzeit von n*log(n) in einen Heap transformiert werden zu können? Die Binärbäume in den folgenden Aufgaben weisen stets diese Struktur auf.","{""answers"":[{""text"":""Alle Ebenen des Baumes, bis auf die letzte, m\u00fcssen vollst\u00e4ndig bef\u00fcllt sein. Die letzte Ebene muss vom linken Ende bis zum rechtesten Element vollst\u00e4ndig bef\u00fcllt sein."",""score"":1}]}"
"50892","7277","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""das letzte (rechteste) Blatt wird die neue Wurzel und solange nach unten getauscht bis der heap wieder sortiert ist""]","Heap reparieren","Wie wird aus einem Binärbaum dessen beiden Teilbäume selber Heaps sind ein Heap erstellt? Wieso benötigt diese Operation eine log(n) Schritte?","{""answers"":[{""text"":""Das Element in der Wurzel tauscht immer wieder die Position mit dem gr\u00f6\u00dferen seiner Kinder, bis es selber wieder ein Blatt ist oder gr\u00f6\u00dfer ist als beide Kinder. Der Bin\u00e4rbaum besitzt maximal log(n) Ebenen."",""score"":1}]}"
"50893","7277","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""die ebenen werden beginnend mit der wurzel von links nach rechts aufgef\u00fcllt""]","Heap Initiierung","Wie wird der initiale Heap aus einem Binärbaum erstellt?","{""answers"":[{""text"":""Es wird in der vorletzten Ebene angefangen und in den Ebenen aufsteigend aus jedem Teilbaum des Bin\u00e4rbaumes ein Heap erstellt. Alle Bl\u00e4tter des Bin\u00e4rbaumes sind bereits Heaps und k\u00f6nnen daher ausgelassen werden."",""score"":1}]}"
"50894","7277","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""eine operation die immer wieder dasselbe tut bis eine bestimmte leich tzu l\u00f6sende situation eintrifft""]","Rekursion","Was ist eine rekursive Operation?","{""answers"":[{""text"":""Das ist eine Operation, die sich selbst wieder aufruft."",""score"":1}]}"
"50895","7277","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""die menge wird solange geteilt bis sie fertig sortiert ist""]","Idee MergeSort","Was ist die Idee des rekursiven MergeSort Algorithmus?","{""answers"":[{""text"":""Der Mergesort Algorithmus halbiert die zu sortierende Menge, sofern die Menge mehr als zwei Elemente enth\u00e4lt. Anschlie\u00dfend ruft er sich selbst an beiden Teilmenge auf, bevor er die sortierten Ergebnisse dann zusammenf\u00fcgt. Eine Menge von 2 oder weniger Elementen wird einfach sortiert zur\u00fcckgegeben."",""score"":1}]}"
"50896","7277","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""jede ebene des bin\u00e4rbaums entspricht einer aufteilung der menge, da der bin\u00e4rbaum n*logn tiefen (max) besitzt kann auch das array nicht \u00f6fter geteilt werden""]","Laufzeitherleitung MergeSort","Stellen Sie sich die rekursive Aufteilung der zu sortierenden Menge in einem Binärbaum vor. Erklären sie anhand der Struktur dieses Binärbaumes warum MergeSort in der Laufzeitklasse O(n*log(n)) liegt.","{""answers"":[{""text"":""Auf jeder Ebene des Baumes sind alle n Elemente vorhanden. Beim mischen m\u00fcssen also auf jeder Ebene insgesamt n Elemente wieder vermischt werden. Der Baum hat maximal log(n) Ebenen. Es m\u00fcssen also log(n) mal alle n Elemente gemischt werden."",""score"":1}]}"
"50712","7252","5f82823a8d8fedd07949feec6b79acdbe0c579a11711c76ef825e335","[""Datentypen geben an, um was f\u00fcr Daten es sich handelt. Damit kann der Compiler die richtigen Schritte einleiten.""]","Funktion von Datentypen","Was ist die Funktion von Datentypen?","{""answers"":[{""text"":""Datentypen dienen zur unterschiedlichen semantischen Interpretation von bin\u00e4ren Werten."",""score"":1}]}"
"50712","7252","8bbd52208353c14f154f1402cebf5829afb1708d06b5dc25064dff23","[""Datentypen bestimmen die Art von Daten, die in einer Variable gespeichert werden k\u00f6nnen. So speichert \""int\"" ganzzahlige Werte (\""long\"" auch, aber mit mehr Kapazit\u00e4t), \""float\"" und \""double\"" speichern auch Kommazahlen, letzterer hierbei wieder mit mehr Kapazit\u00e4t. \""char\"" speichert Zeichen (englisch: \""character\""), wie beispielsweise Buchstaben. Einem \""boolean\"" wird entweder der Wert \""true\"" (wahr) oder \""false\"" (falsch) zugewiesen. Ein \""String\"" speichert eine Zeichenkette und ein \""Array\"" eine Reihe von Zeichenketten.""]","Funktion von Datentypen","Was ist die Funktion von Datentypen?","{""answers"":[{""text"":""Datentypen dienen zur unterschiedlichen semantischen Interpretation von bin\u00e4ren Werten."",""score"":1}]}"
"50713","7252","8bbd52208353c14f154f1402cebf5829afb1708d06b5dc25064dff23","[""Der Datentyp Char repr\u00e4sentiert Zeichen (englisch: \""character\""), wie beispielsweise Buchstaben, Ziffern oder auch Sonderzeichen.""]","Datentyp Char","Was repräsentiert der Datentyp Char?","{""answers"":[{""text"":""Der Datentyp Char repr\u00e4sentiert einzelne Zeichen."",""score"":1}]}"
"50714","7252","8bbd52208353c14f154f1402cebf5829afb1708d06b5dc25064dff23","[""Unter Typecasting wir die Umwandlung eines Datentyps in einen anderen verstanden.""]","Definition Typecasting","Was versteht man unter Typecasting?","{""answers"":[{""text"":""Darunter versteht man die Umwandlung des Datentyps eines bestimmten Wertes in einen anderen."",""score"":1}]}"
"50715","7252","8bbd52208353c14f154f1402cebf5829afb1708d06b5dc25064dff23","[""Diese Operation ergibt 195, da dies die Summe der den chars 'a' und 'b' zugeordneten Werte in der ASCII Tabelle ist. Um die beiden Werte hintereinander zu drucken m\u00fcsste es \""a\"" + \""b\"" hei\u00dfen. Die Anf\u00fchrungszeichen ' ' verweisen auf besagten Wert anstatt auf die Buchstaben.""]","Addition von Chars","Warum ergibt die Operation ‘a’ + ‘b’ 195 und nicht “ab”?","{""answers"":[{""text"":""Chars sind intern als 16 bit Bin\u00e4rzahlen repr\u00e4sentiert. Bei einer Rechenoperation mit Chars werden diese als Integer interpretiert."",""score"":1}]}"
"50716","7252","8bbd52208353c14f154f1402cebf5829afb1708d06b5dc25064dff23","[""Anf\u00fchrungszeichen \"" \"" bedeuten im Kontext des Programms, dass der von ihnen eingerahmte Inhalt genauso gedruckt werden soll, nicht der ihm zugeordnete Wert. Da in den Anf\u00fchrungszeichen keine Leerzeichen angegeben sind, werden die beiden Zeichen direkt hintereinander geheftet.""]","Addition von Strings","Warum ergibt die Operation “a” + “b” “ab” und nicht 195?","{""answers"":[{""text"":""Strings sind intern als Zeichenketten gespeichert. Der \u2018+\u2019 Operator vollf\u00fchrt also eine Verkettung der einzelnen Ketten."",""score"":1}]}"
"50718","7252","8bbd52208353c14f154f1402cebf5829afb1708d06b5dc25064dff23","[""Der Vergleichsoperator '==' stellt ein Vergleich zwischen zwei Werten an, z.B. ' a == b ' zwischen den Werten, die den Variablen a und b zugeordnet sind.""]","Funktion vom Vergleichsoperator `==`?","Was macht der Vergleichsoperator `==` ?","{""answers"":[{""text"":""Er vergleicht den Wert von Variablen."",""score"":1}]}"
"50719","7252","8bbd52208353c14f154f1402cebf5829afb1708d06b5dc25064dff23","[""Mit dem Vergleichsoperator ' == ' werden die Referenzen verglichen, auf die die beiden Strings verweisen, nicht die Strings selbst.""]","Vergleichen von Strings","Wie ist es möglich, dass inhaltsgleiche Strings vom Vergleichsoperator `==` als ungleich bewertet werden?","{""answers"":[{""text"":""Beim Vergleichen von Strings mit dem Vergleichsoperator `==` werden die Referenzen verglichen und nicht die Zeichenketten an sich."",""score"":1}]}"
"50720","7252","8bbd52208353c14f154f1402cebf5829afb1708d06b5dc25064dff23","[""Die Referenz, auf die die erste Variable verweist, wird bei der Wertzuweisung von einer String-Variablen zu einer anderen an besagte andere \u00fcbergeben.""]","Wertzuweisung zwischen Strings","Was passiert bei der Wertzuweisung von einer String-Variablen zu einer Anderen?","{""answers"":[{""text"":""Die Referenz wird kopiert. Danach zeigen beide String-Variablen auf dieselbe Zeichenkette."",""score"":1}]}"
"50721","7252","8bbd52208353c14f154f1402cebf5829afb1708d06b5dc25064dff23","[""Mit der Anweisung new String() wird ein neuer Speicherort f\u00fcr einen neuen String angelegt.""]","Keyword `new`","Was passiert bei der Anweisung new String()?","{""answers"":[{""text"":""Das Keyword `new` erzeugt einen neuen, leeren String im Speicher und gibt anschlie\u00dfend die Referenz auf diesen String zur\u00fcck."",""score"":1}]}"
"50722","7252","8bbd52208353c14f154f1402cebf5829afb1708d06b5dc25064dff23","[""Ein Array dient zur Speicherung mehrerer Elemente eines bestimmten Datentyps. Seine L\u00e4nge ist konstant und wird bei seiner Erstellung festgelegt. Arrays k\u00f6nnen auch andere Arrays enthalten, dabei spricht man von mehrdimensionalen Arrays.""]","Datenstruktur Array","Was ist ein Array?","{""answers"":[{""text"":""Ein Array ist eine Datenstruktur, die eine Sequenz von Variablen gleichen Typs enth\u00e4lt."",""score"":1}]}"
"50712","7252","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""Einer Variable einen ausreichend gro\u00dfen Speicherplatz zu reservieren""]","Funktion von Datentypen","Was ist die Funktion von Datentypen?","{""answers"":[{""text"":""Datentypen dienen zur unterschiedlichen semantischen Interpretation von bin\u00e4ren Werten."",""score"":1}]}"
"50713","7252","dfd5f9139a820075df69d7895015360b76d0360f3d4b77a845689614","[""ein Zeichen""]","Datentyp Char","Was repräsentiert der Datentyp Char?","{""answers"":[{""text"":""Der Datentyp Char repr\u00e4sentiert einzelne Zeichen."",""score"":1}]}"
